,Address,Beds,Phone,Price,Title
39,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
40,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
41,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
42,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
43,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
44,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
45,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
46,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
47,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
48,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
49,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
50,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
51,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
52,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
53,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
54,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
55,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
56,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
57,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
58,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
59,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
60,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
61,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
62,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
63,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
64,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
65,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
66,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
67,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
68,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
69,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
70,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
71,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
72,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
73,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
74,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
75,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
76,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
77,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
78,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
79,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
80,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
81,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
82,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
83,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
84,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
85,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
86,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
87,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
88,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
89,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
90,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
91,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
92,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
93,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
94,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
95,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
96,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
97,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
98,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
99,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
100,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
101,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
102,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
103,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
104,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
105,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
106,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
107,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
108,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
109,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
110,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
111,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
112,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
113,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
114,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
115,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
116,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
117,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
118,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
119,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
120,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
121,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
122,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
123,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
124,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
125,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
126,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
127,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
128,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
129,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
130,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
131,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
132,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
133,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
134,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
135,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
136,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
137,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
138,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
139,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
140,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
141,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
142,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
143,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
144,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
145,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
146,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
147,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
148,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
149,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
150,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
151,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
152,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
153,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
154,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
155,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
156,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
157,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
158,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
159,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
160,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
161,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
162,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
163,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
164,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
165,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
166,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
167,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
168,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
169,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
170,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
171,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
172,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
173,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
174,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
175,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
176,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
177,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
178,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
179,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
180,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
181,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
182,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
183,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
184,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
185,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
186,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
187,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
188,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
189,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
190,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
191,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
192,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
193,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
194,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
195,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
196,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
197,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
198,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
199,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
200,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
201,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
202,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
203,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
204,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
205,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
206,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
207,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
208,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
209,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
210,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
211,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
212,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
213,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
214,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
215,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
